Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
15,Wed,2020-12-23,17:30 (08:30),Getafe,0.2,1–1,0.8,Celta Vigo,0,Coliseum Alfonso Pérez,Pablo González
15,Wed,2020-12-23,19:45 (10:45),Real Madrid,1.3,2–0,0.8,Granada,0,Estadio Alfredo Di Stéfano,Juan Martínez
15,Wed,2020-12-23,22:00 (13:00),Alavés,2.3,2–1,0.6,Eibar,0,Estadio de Mendizorroza,Carlos del Cerro
15,Wed,2020-12-23,22:00 (13:00),Betis,0.3,1–0,0.8,Cádiz,0,Estadio Benito Villamarín,Antonio Matéu Lahoz
16,Tue,2020-12-29,17:00 (08:00),Sevilla,1.9,2–0,0.6,Villarreal,0,Estadio Ramón Sánchez Pizjuán,César Soto
16,Tue,2020-12-29,19:15 (10:15),Barcelona,2.6,1–1,0.6,Eibar,0,Camp Nou,Alberola Rojas
16,Tue,2020-12-29,21:30 (12:30),Cádiz,0.9,0–0,0.5,Valladolid,0,Estadio Nuevo Mirandilla,Alejandro Hernández
16,Tue,2020-12-29,21:30 (12:30),Levante,1.2,4–3,3.0,Betis,0,Estadio Ciudad de Valencia,Javier Estrada
16,Wed,2020-12-30,17:00 (08:00),Granada,2.3,2–1,1.6,Valencia,0,Estadio Nuevo Los Cármenes,Adrián Cordero
16,Wed,2020-12-30,19:15 (10:15),Celta Vigo,2.5,2–1,1.1,Huesca,0,Estadio de Balaídos,José Luis Munuera
16,Wed,2020-12-30,19:15 (10:15),Atlético Madrid,0.7,1–0,0.9,Getafe,0,Estadio Wanda Metropolitano,Antonio Matéu Lahoz
16,Wed,2020-12-30,21:30 (12:30),Elche,1.0,1–1,1.2,Real Madrid,0,Estadio Manuel Martínez Valero,Jorge Figueroa
16,Thu,2020-12-31,14:00 (05:00),Athletic Club,0.2,0–1,1.6,Real Sociedad,0,San Mamés,José Sánchez
16,Thu,2020-12-31,16:15 (07:15),Osasuna,0.4,1–1,1.6,Alavés,0,Estadio El Sadar,Santiago Jaime
17,Sat,2021-01-02,14:00 (05:00),Villarreal,1.9,2–1,0.5,Levante,0,Estadio de la Cerámica,Pablo González
17,Sat,2021-01-02,16:15 (07:15),Betis,2.4,1–1,0.5,Sevilla,0,Estadio Benito Villamarín,Carlos del Cerro
17,Sat,2021-01-02,18:30 (09:30),Getafe,0.6,0–1,1.0,Valladolid,0,Coliseum Alfonso Pérez,Isidro Díaz de Mera
17,Sat,2021-01-02,21:00 (12:00),Real Madrid,1.2,2–0,0.8,Celta Vigo,0,Estadio Alfredo Di Stéfano,Ricardo de Burgos
17,Sun,2021-01-03,14:00 (05:00),Athletic Club,1.6,1–0,0.3,Elche,0,San Mamés,Mario Melero
17,Sun,2021-01-03,16:15 (07:15),Alavés,0.1,1–2,2.0,Atlético Madrid,0,Estadio de Mendizorroza,Juan Martínez
17,Sun,2021-01-03,18:30 (09:30),Real Sociedad,0.9,1–1,0.6,Osasuna,0,Estadio Municipal de Anoeta,Valentín Pizarro
17,Sun,2021-01-03,18:30 (09:30),Eibar,1.9,2–0,0.7,Granada,0,Estadio Municipal de Ipurúa,Antonio Matéu Lahoz
17,Sun,2021-01-03,21:00 (12:00),Huesca,0.3,0–1,2.8,Barcelona,0,Estadio El Alcoraz,Guillermo Cuadra
17,Mon,2021-01-04,21:00 (12:00),Valencia,1.0,1–1,0.8,Cádiz,0,Estadio de Mestalla,David Medié
2,Wed,2021-01-06,21:00 (12:00),Athletic Club,0.9,2–3,1.7,Barcelona,0,San Mamés,Carlos del Cerro
18,Fri,2021-01-08,21:00 (12:00),Celta Vigo,0.3,0–4,2.7,Villarreal,0,Estadio de Balaídos,Javier Estrada
18,Sat,2021-01-09,14:00 (05:00),Sevilla,2.3,3–2,1.1,Real Sociedad,0,Estadio Ramón Sánchez Pizjuán,Alberola Rojas
18,Sat,2021-01-09,18:30 (09:30),Granada,0.5,0–4,1.5,Barcelona,0,Estadio Nuevo Los Cármenes,Ricardo de Burgos
18,Sat,2021-01-09,21:00 (12:00),Osasuna,0.6,0–0,0.3,Real Madrid,0,Estadio El Sadar,César Soto
18,Sun,2021-01-10,14:00 (05:00),Levante,1.2,2–1,1.5,Eibar,0,Estadio Ciudad de Valencia,Javier Estrada
18,Sun,2021-01-10,16:15 (07:15),Cádiz,2.6,3–1,0.9,Alavés,0,Estadio Nuevo Mirandilla,José Sánchez
18,Sun,2021-01-10,21:00 (12:00),Valladolid,0.6,0–1,1.1,Valencia,0,Estadio Municipal José Zorrilla,Guillermo Cuadra
18,Mon,2021-01-11,19:00 (10:00),Elche,1.2,1–3,2.6,Getafe,0,Estadio Manuel Martínez Valero,José Luis Munuera
18,Mon,2021-01-11,21:00 (12:00),Huesca,0.8,0–2,2.1,Betis,0,Estadio El Alcoraz,Adrián Cordero
4,Tue,2021-01-12,19:00 (10:00),Granada,0.8,2–0,0.7,Osasuna,0,Estadio Nuevo Los Cármenes,Pablo González
1,Tue,2021-01-12,21:30 (12:30),Atlético Madrid,0.4,2–0,1.7,Sevilla,0,Estadio Wanda Metropolitano,Javier Estrada
