Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
446,Alejandro Pozo Pozo\3c16d927,es ESP,DFMF,Eibar,21,1999,24.3,4,0,0,25,20,2,59,28,26,0,0,0,203,11,39,22.0
447,Antonio Puertas\c77a8043,es ESP,FWMF,Granada,28,1992,24.1,6,0,0,36,30,13,40,17,17,0,0,0,146,57,88,39.3
448,Riqui Puig\f090a37a,es ESP,MF,Barcelona,20,1999,3.2,1,0,0,2,14,0,0,2,5,0,0,0,24,1,4,20.0
449,Jorge Pulido\978cd030,es ESP,DF,Huesca,29,1991,32.1,6,1,1,39,27,4,8,35,27,0,0,0,303,64,55,53.8
450,Domingos Quina\41fb0f4e,pt POR,MF,Granada,20,1999,3.8,1,0,0,6,10,1,2,4,6,0,0,0,28,5,6,45.5
451,Quini\7a538238,es ESP,DF,Granada,30,1989,13.2,5,0,0,21,10,0,17,21,23,0,0,0,119,24,11,68.6
452,Quique\c966fce1,es ESP,FWMF,Eibar,30,1990,1.9,0,0,0,2,5,1,0,0,0,0,0,0,12,6,13,31.6
453,Dani Raba\ea6a7ab4,es ESP,MF,Villarreal,24,1995,1.7,0,0,0,6,11,1,4,2,2,0,0,0,15,1,1,50.0
454,Uroš Račić\faed84db,rs SRB,MF,Valencia,22,1998,24.3,6,0,0,53,32,1,1,20,26,0,1,0,264,76,46,62.3
455,Nemanja Radoja\b5dd3469,rs SRB,MF,Levante,27,1993,12.5,1,0,0,19,11,0,3,13,11,0,0,0,130,25,14,64.1
456,Ivan Rakitić\89f951b5,hr CRO,MF,Sevilla,32,1988,24.8,5,0,0,41,29,2,14,20,30,1,0,0,199,33,35,48.5
457,Jonás Ramalho\be3a0121,es ESP,DF,Osasuna,27,1993,3.4,0,0,0,1,2,0,2,3,2,0,0,0,26,6,1,85.7
458,Sandro Ramírez\833fb62e,es ESP,FWMF,Huesca,25,1995,14.3,2,0,0,21,53,11,18,15,11,0,0,0,73,10,26,27.8
459,Sergio Ramos\08511d65,es ESP,DF,Real Madrid,34,1986,14.2,3,0,0,20,5,2,5,16,12,1,1,0,153,29,22,56.9
460,Recio\54073b28,es ESP,MF,Eibar,29,1991,8.2,5,0,0,21,23,0,20,4,9,0,0,0,72,8,14,36.4
461,Francisco Reis Ferreira\4b3c863f,pt POR,DF,Valencia,23,1997,2.0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,3,0.0
462,Karim Rekik\3376a776,nl NED,DF,Sevilla,25,1994,7.3,2,0,0,19,5,1,8,6,8,0,0,0,39,14,5,73.7
463,Álex Remiro\374ee424,es ESP,GK,Real Sociedad,25,1995,38.0,0,0,0,0,8,0,0,0,0,0,0,0,181,0,0,
464,Oriol Rey\e8a0d2f7,es ESP,MF,Valladolid,22,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0
465,Ricard\fce521d7,es ESP,DF,Atlético Madrid,20,2000,0.3,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,0.0
466,Mikel Rico\def69cd0,es ESP,MF,Huesca,35,1984,24.3,2,0,0,23,29,3,26,20,15,0,0,0,205,14,28,33.3
467,Emiliano Rigoni\a1216563,ar ARG,MFFW,Elche,27,1993,12.7,5,0,0,21,8,7,26,5,10,0,0,0,55,6,12,33.3
468,Luis Rioja\eb3dd471,es ESP,MFDF,Alavés,26,1993,23.2,4,0,0,22,37,7,62,31,15,1,0,0,153,20,35,36.4
469,Rober\c00097d2,es ESP,DFMF,Levante,25,1995,15.8,3,1,0,20,6,1,1,39,14,0,0,0,136,23,35,39.7
470,Roberto\ba3ca78f,es ESP,GK,Valladolid,34,1986,13.0,0,1,0,0,0,0,0,0,0,0,0,0,55,0,0,
471,Sergi Roberto\335fa267,es ESP,DFMF,Barcelona,28,1992,10.5,1,0,0,6,10,2,7,8,7,0,0,0,89,8,10,44.4
472,Joel Robles\cda0b317,es ESP,GK,Betis,30,1990,18.0,2,0,0,1,0,0,0,0,0,0,1,0,89,0,0,
473,Rubén Rochina\ecd8c01e,es ESP,MF,Levante,29,1991,15.6,5,0,0,38,36,0,28,22,31,0,0,0,152,22,13,62.9
474,Rodrigo\85bed4ee,es ESP,FWMF,Betis,20,2000,6.0,0,0,0,2,18,2,10,2,2,0,0,0,43,1,8,11.1
475,Kévin Rodrigues\f1bed920,pt POR,MFDF,Eibar,26,1994,12.2,1,0,0,11,17,1,41,14,11,0,0,0,121,13,36,26.5
476,Óscar Rodríguez Arnaiz\19709006,es ESP,MFFW,Sevilla,22,1998,5.7,1,0,0,13,10,0,19,8,14,0,0,0,46,7,8,46.7
477,Ángel Rodríguez\8cfc2f69,es ESP,FWMF,Getafe,33,1987,15.3,4,0,0,28,27,13,14,2,3,1,0,0,67,26,77,25.2
478,Guido Rodríguez\34e393f2,ar ARG,MF,Betis,26,1994,31.8,10,0,0,70,48,0,4,58,69,0,1,0,351,57,41,58.2
479,Miguel Rodríguez\958d67bb,es ESP,FWMF,Celta Vigo,17,2003,0.3,2,0,0,2,1,0,1,0,2,0,0,0,1,0,1,0.0
480,Víctor Rodríguez\15781606,es ESP,MF,Elche,31,1989,4.7,1,0,0,13,8,0,2,9,4,0,0,0,37,5,4,55.6
481,Rodrygo\8f5e92a6,br BRA,FW,Real Madrid,19,2001,10.9,0,0,0,20,30,1,15,7,7,0,0,0,48,9,14,39.1
