Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,
Stade Louis II11,Sat,2020-12-12,15:30 (06:30),RB Leipzig,2.7,2–0,0.4,Werder Bremen,,Red Bull Arena,Sören Storks,
Stade Louis II11,Sat,2020-12-12,15:30 (06:30),Freiburg,2.7,2–0,0.2,Arminia,,Schwarzwald-Stadion,Harm Osmers,
Stade Louis II11,Sat,2020-12-12,18:30 (09:30),Union Berlin,1.3,1–1,0.9,Bayern Munich,,Stadion An der Alten Försterei,Bastian Dankert,
Stade Louis II11,Sun,2020-12-13,15:30 (06:30),Augsburg,1.0,2–2,1.9,Schalke 04,,WWK Arena,Manuel Gräfe,
Stade Louis II11,Sun,2020-12-13,18:00 (09:00),Leverkusen,2.3,4–1,1.6,Hoffenheim,,BayArena,Martin Petersen,
Stade Louis II12,Tue,2020-12-15,18:30 (09:30),Eint Frankfurt,2.2,3–3,1.6,M'Gladbach,,Commerzbank-Arena,Benjamin Cortus,
Stade Louis II12,Tue,2020-12-15,20:30 (11:30),Stuttgart,1.7,2–2,0.8,Union Berlin,,Mercedes-Benz Arena,Sascha Stegemann,
Stade Louis II12,Tue,2020-12-15,20:30 (11:30),Werder Bremen,0.2,1–2,2.8,Dortmund,,Weserstadion,Robert Schröder,
Stade Louis II12,Tue,2020-12-15,20:30 (11:30),Hertha BSC,0.6,0–0,0.5,Mainz 05,,Olympiastadion Berlin,Matthias Jöllenbeck,
Stade Louis II12,Wed,2020-12-16,18:30 (09:30),Schalke 04,0.4,0–2,1.4,Freiburg,,Veltins-Arena,Sven Jablonski,
Stade Louis II12,Wed,2020-12-16,20:30 (11:30),Arminia,0.8,0–1,0.6,Augsburg,,SchücoArena,Patrick Ittrich,
Stade Louis II12,Wed,2020-12-16,20:30 (11:30),Bayern Munich,2.0,2–1,1.1,Wolfsburg,,Allianz Arena,Marco Fritz,
Stade Louis II12,Wed,2020-12-16,20:30 (11:30),Köln,0.6,0–4,1.4,Leverkusen,,RheinEnergieSTADION,Tobias Stieler,
